T,mbatch,time_cost,best,lowerbound
2,1,2.4820139408111572,24823.0,16222.0
2,1,2.525083065032959,23772.0,16224.0
2,1,2.789541006088257,27332.0,16213.0
2,1,2.4244790077209473,25722.0,16218.0
2,1,2.318662166595459,21805.0,16229.0
2,1,2.2462899684906006,25694.0,16230.0
2,1,2.277125835418701,24818.0,16220.0
2,1,2.308769941329956,22348.0,16224.0
2,1,2.361661911010742,24817.0,16220.0
2,1,2.408489942550659,24989.0,16221.0
2,2,2.6013760566711426,24029.0,14807.0
2,2,3.0564520359039307,35843.0,14805.0
2,2,2.5698859691619873,34343.0,14809.0
2,2,2.4507527351379395,24278.0,14808.0
2,2,2.42090106010437,34093.0,14812.0
2,2,2.3873960971832275,32561.0,14812.0
2,2,2.3784639835357666,23155.0,14811.0
2,2,2.4226269721984863,34186.0,14811.0
2,2,2.422816038131714,23411.0,14808.0
2,2,2.49249005317688,34435.0,14809.0
2,3,4.394658088684082,inf,0.0
2,3,3.0194308757781982,28334.0,14487.0
2,3,3.0506198406219482,28334.0,14487.0
2,3,3.5567898750305176,28334.0,14489.0
2,3,2.55367112159729,28334.0,14489.0
2,3,2.8395578861236572,28334.0,14488.0
2,3,2.5020201206207275,28334.0,14488.0
2,3,2.5573132038116455,28334.0,14489.0
2,3,2.5193569660186768,28334.0,14488.0
2,3,2.5688488483428955,28334.0,14488.0
2,4,2.875614881515503,28938.0,14195.0
2,4,2.6262710094451904,28526.0,14196.0
2,4,2.6151068210601807,28526.0,14196.0
2,4,2.635511636734009,28938.0,14196.0
2,4,2.8168749809265137,28938.0,14196.0
2,4,3.091625928878784,28938.0,14195.0
2,4,2.76971697807312,28939.0,14196.0
2,4,2.90887188911438,28526.0,14196.0
2,4,2.6396141052246094,28526.0,14196.0
2,4,2.6164798736572266,28526.0,14197.0
2,5,2.748189926147461,28029.0,14023.0
2,5,2.913928270339966,28029.0,14023.0
2,5,2.803126096725464,28029.0,14023.0
2,5,2.83597993850708,28029.0,14023.0
2,5,2.748979091644287,28029.0,14023.0
2,5,2.75988507270813,28029.0,14023.0
2,5,2.826582908630371,28029.0,14023.0
2,5,2.8051860332489014,28029.0,14023.0
2,5,2.7676639556884766,28029.0,14023.0
2,5,2.7760632038116455,28029.0,14023.0
2,6,2.872183084487915,49241.0,13860.0
2,6,3.3661909103393555,inf,13860.0
2,6,3.2244300842285156,49241.0,13860.0
